mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_step_size	param_prop_sparsity	param_norm	param_max_cosamp_iter	param_lamb	param_function_budget	param_delta	param_cosamp_tol	params	split0_test_score	mean_test_score	std_test_score	rank_test_score
110.74199986457825	0.0	1.6689300537109375e-05	0.0	1.0	0.25	2	20	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	0.7094789163751667	0.7094789163751667	0.0	78
181.42954206466675	0.0	3.123283386230469e-05	0.0	0.1	0.2	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 0.1, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	0.8770491642860403	0.8770491642860403	0.0	77
164.78943371772766	0.0	3.361701965332031e-05	0.0	1.0	0.25	2	10	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	0.8792179547906526	0.8792179547906526	0.0	76
87.53793859481812	0.0	3.7670135498046875e-05	0.0	0.01	0.25	2	10	0.1	10000.0	0.001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.0076992819192412	1.0076992819192412	0.0	75
118.19264674186707	0.0	2.9802322387695312e-05	0.0	0.01	0.25	2	5	0.1	10000.0	0.0001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	1.0107506318127981	1.0107506318127981	0.0	74
112.86943125724792	0.0	3.4332275390625e-05	0.0	0.01	0.2	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.0143791549996466	1.0143791549996466	0.0	73
233.09583616256714	0.0	3.218650817871094e-05	0.0	0.1	0.1	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 0.1, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.024067533121076	1.024067533121076	0.0	72
158.02329349517822	0.0	3.24249267578125e-05	0.0	1.0	0.2	2	25	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	1.0764466360820009	1.0764466360820009	0.0	71
112.28330683708191	0.0	3.600120544433594e-05	0.0	0.01	0.2	2	5	0.1	10000.0	0.001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.2697453025891798	1.2697453025891798	0.0	70
136.05497121810913	0.0	3.933906555175781e-05	0.0	0.1	0.25	2	10	0.1	10000.0	1e-05	0.5	{'step_size': 0.1, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.4827179541933122	1.4827179541933122	0.0	69
128.1465198993683	0.0	2.9802322387695312e-05	0.0	0.1	0.25	2	10	0.1	10000.0	0.001	0.5	{'step_size': 0.1, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.544027067939548	1.544027067939548	0.0	68
114.01236772537231	0.0	3.24249267578125e-05	0.0	1.0	0.25	2	25	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	1.6994150378883324	1.6994150378883324	0.0	67
162.04397439956665	0.0	0.002517223358154297	0.0	0.01	0.25	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.855835106636518	1.855835106636518	0.0	66
166.76694512367249	0.0	2.8371810913085938e-05	0.0	0.1	0.25	2	25	0.1	10000.0	0.0001	0.5	{'step_size': 0.1, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	2.1089572627680737	2.1089572627680737	0.0	65
130.49040484428406	0.0	3.5762786865234375e-05	0.0	0.01	0.25	2	5	0.1	10000.0	0.001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	2.277465156880304	2.277465156880304	0.0	64
119.45299243927002	0.0	5.4836273193359375e-05	0.0	0.1	0.25	2	20	0.1	10000.0	0.001	0.5	{'step_size': 0.1, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	2.6900760118586713	2.6900760118586713	0.0	63
112.3090226650238	0.0	3.790855407714844e-05	0.0	1.0	0.25	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 1.0, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	3.277761770217366	3.277761770217366	0.0	62
83.2900595664978	0.0	3.123283386230469e-05	0.0	0.01	0.25	2	5	0.1	10000.0	1e-05	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	3.405934921509328	3.405934921509328	0.0	61
66.47921442985535	0.0	2.6464462280273438e-05	0.0	0.001	0.25	2	10	0.1	10000.0	1e-05	0.5	{'step_size': 0.001, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	3.4692994878663135	3.4692994878663135	0.0	60
45.828277587890625	0.0	3.2901763916015625e-05	0.0	0.001	0.2	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	4.103167027176066	4.103167027176066	0.0	59
117.47519183158875	0.0	3.0994415283203125e-05	0.0	0.001	0.25	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	4.746663528347122	4.746663528347122	0.0	58
78.29100394248962	0.0	3.528594970703125e-05	0.0	0.001	0.25	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 0.001, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	6.013927525425806	6.013927525425806	0.0	57
76.68926048278809	0.0	2.8133392333984375e-05	0.0	0.001	0.25	2	5	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	6.236429740180697	6.236429740180697	0.0	56
73.84430003166199	0.0	3.361701965332031e-05	0.0	0.001	0.25	2	10	0.1	10000.0	0.0001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	6.350517933219767	6.350517933219767	0.0	55
205.17717337608337	0.0	3.24249267578125e-05	0.0	0.001	0.15	2	5	0.1	10000.0	1e-05	0.5	{'step_size': 0.001, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	7.187264984538091	7.187264984538091	0.0	54
301.7406792640686	0.0	3.7670135498046875e-05	0.0	0.001	0.15	2	15	0.1	10000.0	0.0001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	8.57542083433931	8.57542083433931	0.0	53
211.96057271957397	0.0	3.314018249511719e-05	0.0	0.001	0.15	2	25	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	8.641019517745434	8.641019517745434	0.0	52
182.48681616783142	0.0	3.4332275390625e-05	0.0	0.001	0.1	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	8.831778984290747	8.831778984290747	0.0	51
203.5727095603943	0.0	7.009506225585938e-05	0.0	0.001	0.1	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 0.001, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	12.03099054923229	12.03099054923229	0.0	50
96.15325379371643	0.0	3.838539123535156e-05	0.0	0.01	0.25	2	10	0.1	10000.0	1e-05	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	12.351712259267558	12.351712259267558	0.0	49
233.92752957344055	0.0	6.747245788574219e-05	0.0	0.01	0.1	2	5	0.1	10000.0	1e-05	0.5	{'step_size': 0.01, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	13.039690131406166	13.039690131406166	0.0	48
